#,Name,Phone,Email,Credit Days,Address,Phone No,GST No,Agent,Collector,Sales Person,Cheque No,Bank,Order Limit,Credit Limit,Trade Discount(%),Cash Discount(%),Actions
,Vimal Desai,9971176056,ava.jenkins@schmeler.com,,"B/34-35, WESTERN PARK, India, Gujarat, Surat - 395001",9971176056,24AFNPG7193J1Z1,,,,,,,,,,
,BRAND CASTLE,9066535000,ava.jenkins@schmeler.com,,"298-E 59, KHADI BHANDAR WALI GALI, AGGARWAL COLONY, BATHINDA, India, Punjab, Bathinda - 151001",9066535000,03BBYPA7373N1Z1,,,,,,,,,,
,Jaida Flatley,752948613,ava.jenkins@schmeler.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",752948613,6.87E+14,,,,,,,,,,
,Prof. Hardy Jerde Sr.,9037564821,kylie.vandervort@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9037564821,7.00E+14,,,,,,,,,,
,Abdul Johns V,214637985,lakin.garret@greenholt.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",214637985,4.61E+14,,,,,,,,,,
,Onie McClure,8791205364,schuppe.candice@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8791205364,4.18E+14,,,,,,,,,,
,Mrs. Mabelle Daniel,6932417508,canderson@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",6932417508,1.18E+14,,,,,,,,,,
,Prof. Turner Orn MD,9853214076,ustreich@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9853214076,7.83E+14,,,,,,,,,,
,Vesta Carter,5792301846,adriana.kunde@medhurst.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",5792301846,5.41E+14,,,,,,,,,,
,Omer McCullough,9521876340,tina69@denesik.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9521876340,4.30E+14,,,,,,,,,,
,Mr. Garrison Halvorson,1469702538,hermina96@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1469702538,3.31E+14,,,,,,,,,,
,Alejandrin Reynolds,3214975086,kaycee37@oberbrunner.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",3214975086,5.03E+14,,,,,,,,,,
,Mariano Bogisich,972856314,tabshire@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",972856314,5.95E+14,,,,,,,,,,
